NME_AREA_CIENCIA,MONTO_FINANCIADO_AP,AREA_TEMATICA
No disponible,399946443,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,299897939,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,399951636,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,395952867,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,295913850,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,399971286,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,298625398,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,299991620,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,297071055,CONDICIONES TRANSMISIBLES E INFECCIOSAS.
No disponible,299821432,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,399952090,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,559644220,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,399512792,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,399987967,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,351746897,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,364459062,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,396756000,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,398965710,TOXINOLOGIA CLINICA Y NUEVOS MEDICAMENTOS.
No disponible,199999999,No disponible
No disponible,199999999,No disponible
No disponible,199869928,No disponible
No disponible,199615437,No disponible
No disponible,199820000,No disponible
No disponible,200000000,No disponible
No disponible,199820000,No disponible
No disponible,199999999,No disponible
No disponible,198570821,No disponible
No disponible,219323000,No disponible
No disponible,415000000,No disponible
No disponible,414400000,No disponible
No disponible,344531860,No disponible
No disponible,241261875,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,341572440,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,341451180,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,341952713,CANCER
No disponible,302462155,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,341842045,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,304882656,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,519915054,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,323910959,SALUD MENTAL
No disponible,341132723,NUTRICION
No disponible,339929964,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,300126259,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,340811199,CANCER
No disponible,341767822,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,341871420,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,236841290,SALUD AMBIENTAL
No disponible,341999840,SALUD MENTAL
No disponible,310998375,CANCER
No disponible,341999861,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,535651912,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,341871420,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,541986241,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,341984406,ENFERMDADES TRANSMISIBLES E INFECCIOSAS
No disponible,541131100,CANCER
No disponible,341996508,SALUD AMBIENTAL
No disponible,341871420,CANCER
No disponible,198103890,SALUD MATERNA Y PERINATAL
No disponible,341990076,ENFERMEDADES CRONICAS NO TRANSMISIBLES
No disponible,341999983,CANCER
No disponible,339887640,SALUD AMBIENTAL
No disponible,341614413,SALUD AMBIENTAL
No disponible,341945863,SALUD AMBIENTAL
No disponible,541746244,SALUD AMBIENTAL
No disponible,341966952,SALUD MATERNA Y PERINATAL
No disponible,341761210,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,310607741,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,339131430,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,339226380,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,215035160,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,469881164,ENFERMEDADES HUERFANAS AUTOINMUNES Y NEURODEGENERATIVAS.
No disponible,411235309,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,541999990,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,296220234,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,335423399,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,215557157,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,339694000,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
No disponible,281098339,SISTEMAS Y SERVICIOS DE ATENCION EN SALUD.
